ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,condition,gate_mode,clutter_mode,gate_sep_m,trial,gate_sep_sweep
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,0,0.13
True,False,0.0021474579989444464,2,0.0016720410058042035,all_vhacd,vhacd,vhacd,0.13,1,0.13
True,True,0.011525542009621859,22,0.009283790015615523,all_vhacd,vhacd,vhacd,0.13,2,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,3,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,4,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,5,0.13
True,True,0.2935436249972554,425,0.11614142198232003,all_vhacd,vhacd,vhacd,0.13,6,0.13
True,True,0.0067946249910164624,22,0.0058573749993229285,all_vhacd,vhacd,vhacd,0.13,7,0.13
True,True,0.0069484999985434115,22,0.0060199180006748065,all_vhacd,vhacd,vhacd,0.13,8,0.13
True,True,0.0064415839879075065,22,0.00556537599186413,all_vhacd,vhacd,vhacd,0.13,9,0.13
True,True,0.09772454100311734,314,0.07182907410606276,all_vhacd,vhacd,vhacd,0.13,10,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,11,0.13
True,True,0.00586295900575351,22,0.005072584986919537,all_vhacd,vhacd,vhacd,0.13,12,0.13
True,True,0.06787012499989942,203,0.04924695400404744,all_vhacd,vhacd,vhacd,0.13,13,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,14,0.13
True,False,0.0010899159969994798,2,0.0008216240094043314,all_vhacd,vhacd,vhacd,0.13,15,0.13
True,True,0.12131645900080912,297,0.07596712600206956,all_vhacd,vhacd,vhacd,0.13,16,0.13
True,True,0.00865420899935998,32,0.007594376045744866,all_vhacd,vhacd,vhacd,0.13,17,0.13
False,False,0.0,0,0.0,all_vhacd,vhacd,vhacd,0.13,18,0.13
True,True,0.006192958986503072,22,0.005380794013035484,all_vhacd,vhacd,vhacd,0.13,19,0.13
False,False,0.0,0,0.0,all_box,box,box,0.13,0,0.13
True,False,0.000908499991055578,2,0.0006373749929480255,all_box,box,box,0.13,1,0.13
True,True,0.006845707990578376,22,0.006032501987647265,all_box,box,box,0.13,2,0.13
False,False,0.0,0,0.0,all_box,box,box,0.13,3,0.13
False,False,0.0,0,0.0,all_box,box,box,0.13,4,0.13
False,False,0.0,0,0.0,all_box,box,box,0.13,5,0.13
