ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,geometry_mode,trial,mug_spacing
True,False,0.0013275829987833276,2,0.001070750004146248,vhacd,0,0.13
True,False,0.00120825000340119,2,0.0009465840121265501,vhacd,1,0.13
True,False,0.0014513750065816566,2,0.0011970830091740936,vhacd,2,0.13
True,False,0.0021380830003181472,2,0.0018941669986816123,vhacd,3,0.13
True,False,0.0009815420053200796,2,0.0007332499808399007,vhacd,4,0.13
False,False,0.0,0,0.0,vhacd,5,0.13
True,False,0.0022034580033505335,2,0.0019635839998954907,vhacd,6,0.13
False,False,0.0,0,0.0,vhacd,7,0.13
False,False,0.0,0,0.0,vhacd,8,0.13
True,True,0.228211708003073,548,0.15437249685055576,vhacd,9,0.13
