ik_success,success,planning_time_s,n_collision_checks,collision_check_time_s,geometry_mode,trial,mug_spacing
True,True,0.011125707998871803,32,0.009944584002369083,box,0,0.13
True,False,0.0011964169971179217,2,0.0008660839957883582,box,1,0.13
True,False,0.0010905410017585382,2,0.0007920000061858445,box,2,0.13
True,True,0.08627858299587388,228,0.06531228794483468,box,3,0.13
True,True,0.010026125004515052,32,0.008950083996751346,box,4,0.13
False,False,0.0,0,0.0,box,5,0.13
True,True,0.007316875009564683,22,0.00647187496360857,box,6,0.13
False,False,0.0,0,0.0,box,7,0.13
False,False,0.0,0,0.0,box,8,0.13
True,True,0.20013779200962745,380,0.11919895617756993,box,9,0.13
True,True,0.006980749996728264,22,0.006187998020322993,box,10,0.13
True,True,0.0068360830046003684,22,0.006070581992389634,box,11,0.13
True,True,0.007627541999681853,22,0.006783789984183386,box,12,0.13
True,False,0.000933834002353251,2,0.0006451660010498017,box,13,0.13
True,False,0.0009514579869573936,2,0.000709832995198667,box,14,0.13
True,True,0.007528082991484553,22,0.00670950100175105,box,15,0.13
True,True,0.010595542000373825,32,0.009526538022328168,box,16,0.13
True,True,0.007102040995960124,22,0.006324875968857668,box,17,0.13
False,False,0.0,0,0.0,box,18,0.13
True,False,0.000905958004295826,2,0.0006401249847840518,box,19,0.13
True,True,0.010372082993853837,32,0.009241708947229199,vhacd,0,0.13
True,True,0.15425541599688586,424,0.1189587911212584,vhacd,1,0.13
True,False,0.0017762089992174879,2,0.0015167090023169294,vhacd,2,0.13
True,True,0.007019749988103285,22,0.006196040034410544,vhacd,3,0.13
True,True,0.009637958006351255,32,0.00858295601210557,vhacd,4,0.13
False,False,0.0,0,0.0,vhacd,5,0.13
True,True,0.0071696249942760915,22,0.00638070899003651,vhacd,6,0.13
False,False,0.0,0,0.0,vhacd,7,0.13
False,False,0.0,0,0.0,vhacd,8,0.13
True,True,0.198747040994931,411,0.1234043349249987,vhacd,9,0.13
True,True,0.007100624992744997,22,0.0062832090188749135,vhacd,10,0.13
True,True,0.006737666990375146,22,0.00594521094171796,vhacd,11,0.13
True,True,0.007350709012825973,22,0.006512502048281021,vhacd,12,0.13
True,False,0.0009443329909117892,2,0.0006925000052433461,vhacd,13,0.13
True,False,0.0026142920105485246,2,0.002379749988904223,vhacd,14,0.13
True,True,0.0071092500002123415,22,0.006361710009514354,vhacd,15,0.13
True,True,0.00977012500516139,32,0.008678623038576916,vhacd,16,0.13
True,True,0.05502170899126213,129,0.037050571976578794,vhacd,17,0.13
False,False,0.0,0,0.0,vhacd,18,0.13
True,False,0.001297416994930245,2,0.001064707976183854,vhacd,19,0.13
True,True,0.010469875007402152,32,0.009383496013469994,box,0,0.14
True,False,0.0010466250096214935,2,0.0008017920044949278,box,1,0.14
True,False,0.0009506250062258914,2,0.0007065829850034788,box,2,0.14
True,True,0.08473387500271201,228,0.06415341797401197,box,3,0.14
True,True,0.010368792005465366,32,0.009285038962843828,box,4,0.14
False,False,0.0,0,0.0,box,5,0.14
